"Account Name","Street","City","State","Zip Code","Main Phone","Website"
"Bernstein Institutional Services LLC","245 Park Avenue","New York","New York","10167","(212) 756-4631","www.bernsteinresearch.com"
"Blue Diamond Securities of America, LLC","60-20 Woodside Avenue, Suite 211","Woodside","New York","11377","(917) 299-6562","https://www.bdsecamerica.com/"
"BofA Securities, Inc.","One Bryant Park","New York","New York","10036","(646) 743-2734","www.bankofamerica.com"
"Brendan E. Cryan and Company, L.L.C.","14 Wall St. 20th Floor
Ste 2049","New York","New York","10005","(212) 285-1191","https://www.bcryanco.com/"
"Brownstone Investment Group, LLC","505 5th Avenue, Floor 10","New York","New York","10017","(212) 905-0525","www.brownstone.com"
"CBOE Trading, Inc.","6800 West 115th Street, Suite 260","Overland Park","Kansas","66211","(913) 815-7000","www.batstrading.com"
"CIBC World Markets Corp.","300 Madison Avenue","New York","New York","10017","(212) 856-4000","www.cibcwm.com"
"CLSA Americas, LLC","1301 Ave Of The Americas, 15th Floor","New York","New York","10019","(212) 408-5888","https://www.clsa.com"
"Cantor Fitzgerald & Co.","110 East 59th Street","New York","New York","10022","(212) 938-5000","www.cantor.com"
"Capital Institutional Services, Inc.","1700 Pacific Ave, Suite 1100","Dallas","Texas","75201","(214) 720-0055","www.capis.com"
"Cathay Securities, Inc.","40 Wall Street	Suite 3600","New York","New York","10005","(855) 939-3888","www.cathaysecurities.com"
"China Renaissance Securities (US) Inc.","295 Maidson Avenue
18th Floor","New York","New York","10017","(212) 554-2958","https://www.chinarenaissance.com"
"Citadel Securities LLC","830 Brickwell Plaza
15th Floor","Miami","Florida","33131","(305) 929-6851","www.citadelsecurities.com"
"Citicorp Securities Services, Inc.","388 Greenwich Street","New York","New York","10013","(212) 723-7600",""
"Citigroup Global Markets Inc.","388 Greenwich Street","New York","New York","10013","(212) 816-6000","www.citigroup.com"
"Clear Street LLC","4 World Trade Center
150 Greenwich Street, 45th FL","New York","New York","10007","(646) 845-0036","https://clearstreet.io/"
"Clearpool Execution Services, LLC","17 State Street, 38th Floor","New York","New York","10004","(212) 531-8500","www.clearpoolgroup.com/"
"Cohen & Company Securities, L.L.C.","1633 Broadway 28th Floor","New York City","New York","10019","(646) 792-5600","www.princeridge.com"
"Credit Agricole Securities (USA) Inc.","1301 Ave Of The Americas","New York","New York","10019-6022","(212) 261-7000","https://www.ca-cib.com"
"Curvature Securities, LLC","39 Main Street","Chatham","New Jersey","07928","(908) 304-9200","www.curvaturesecurities.com"
"D. Boral Capital, LLC","590 Madison Avenue
39th Floor","New York","New York","10022","(212) 570-5150","www.dboralcapital.com"
"DRW Execution Services, LLC","540 West Madison Street
Suite 2500","Chicago","Illinois","60661","(312) 542-1000","www.drw.com"
"DRW Securities, LLC","540 W Madison St, Suite 2500","Chicago","Illinois","60661","(312) 542-1000","www.drw.com"
"Daiwa Capital Markets America Inc.","1251 Avenue of the Americas
49th Fl","New York","New York","10020","(212) 612-7000","https://us.daiwacm.com/"
"Dash Financial Technologies LLC","200 South Wacker Drive, Suite 2450","Chicago","Illinois","60606","(312) 663-3655","www.dashfinancial.com"
"Davenport & Company LLC","901 East Cary Street,
Suite 1100","Richmond","Virginia","23219","(804) 780-2000","www.davenportllc.com"
"Dawson James Securities, Inc.","2700 N. Military Trail, Suite 100","Boca Raton","Florida","33431","(561) 208-2913","https://dawsonjames.com"
"Deutsche Bank Securities Inc.","1 Columbus Circle","New York","New York","10019","(212) 250-2500","www.db.com"
"Digital Offering, LLC","1461 Glenneyre Street
Suite D","Laguna Beach","California","92651","(866) 209-1955","www.digitaloffering.com"
"Dominari Securities LLC","725 5th Avenue 23rd Floor","New York","New York","10022","(212) 393-4500","https://www.dominarisecurities.com/"
"DriveWealth, LLC","28 Liberty Street
50th Floor","New York","New York","10005","(800) 461-2680","www.drivewealth.com"
"E&J Securities Corp.","199 Water Street, 9th FL","New York","New York","10038","(212) 668-8700","N/A"
"EarlyBirdCapital, Inc.","874 Walker Rd
Ste C","Dover","Delaware","19904","(631) 770-0600","www.earlybirdcapital.com"
"Eddid Securities USA, Inc.","40 Wall Street, Suite 1606","New York","New York","10005","(212) 363-6888","https://www.eddidusa.com/"
"Edward D. Jones & Co., L.P.","12555 Manchester Road","St. Louis","Missouri","63131","(314) 515-4900","www.edwardjones.com"
"Evercore Group L.L.C.","55 East 52nd Street","New York","New York","10055","(212) 857-3100","www.evercore.com"
"Ferretti Group, Inc.","199 Water Street, 9th Floor","New York","New York","100038","(212) 306-8963","https://ferrettigroupinc.com"
"Fidelity Brokerage Services LLC","900 Salem Street","Smithfield","Rhode Island","02917","(617) 563-7000","www.fidelity.com"
"Flow Traders U.S. LLC","1114 Avenue Of The Americas
4th Floor","New York","New York","10036","(917) 210-5000","www.flowtraders.com"
"Folger Nolan Fleming Douglas Incorporated","725 15th Street, N.W.
3rd Floor","Washington","District of Columbia","20005","(202) 783-5252","www.fnfd.com"
"Fred Alger & Company, LLC","100 Pearl Street
27th Floor","New York","New York","10004","(800) 223-3810","www.alger.com"
"GTS Execution Services LLC","625 Avenue of Americas, 3rd Floor","New York","New York","10011","(212) 715-2830","https://gtsx.com"
"GTS Securities LLC","625 Avenue of Americas, 3rd Floor","New York","New York","10010","(212) 715-2830","www.gtsx.com"
"Gilder Gagnon Howe & Co. LLC","475 10th Avenue","New York","New York","10018","(212) 765-2500","www.gghc.com"
"Goldman Sachs & Co. LLC","200 West Street","New York","New York","10282","(212) 902-1000","www.gs.com"
"Gordon, Haskett Capital Corporation","441 Lexington Avenue","New York","New York","10017","(212) 883-0600","www.indataweb.com"
"Guggenheim Securities, LLC","330 Madison Avenue","New York","New York","10017","(212) 644-9444","www.guggenheimpartners.com"
"H.C. Wainwright and Co.","430 Park Avenue","New York","New York","10022","(212) 856-6233","https://hcwco.com/"
"HRT Financial LP","3 World Trade Center
175 Greenwich Street, 76th Floor","New York","New York","10007","(212) 293-1444","www.hudson-trading.com"
"HSBC Securities (USA) Inc.","66 Hudson Boulevard","New York","New York","10001","(212) 525-5000","www.hsbcnet.com"
"Hilltop Securities Inc.","717 N. Harwood Street
Suite 3400","Dallas","Texas","75201","(214) 859-9164","www.swst.com"
"Huatai Securities (USA), Inc.","280 Park Avenue 
21 Floor East","New York","New York","10017","(212) 763-8180","https://htsc-us.com"
"IEX Services LLC","3 World Trade Center
58th Floor","New York","New York","10007","(646) 568-2320","www.iextrading.com"
"IMC Chicago, LLC","233 South Wacker Drive
Suite 4300","Chicago","Illinois","60606","(312) 244-3300","www.imc.com"
"ING Financial Markets LLC","1133 Avenue of the Americas","New York","New York","10019","(646) 424-6000","www.ing.com"
"Instinet, LLC","309 West 49th Street","New York","New York","10019","(212) 310-9500","www.instinet.com"
"Interactive Brokers LLC","One Pickwick Plaza","Greenwich","Connecticut","06830","(203) 618-5700","https://www.interactivebrokers.com"
"Intesa Sanpaolo  IMI Securities Corp.","1 William Street","New York","New York","10312","(212) 326-1100","www.bancaimi.it"
"J. Streicher & Co. L.L.C.","200 Vesey Street
24th Floor","New York","New York","10281","(212) 425-2320","www.jstreicher.com"
"J.P. Morgan Securities LLC","270 Park Avenue","New York","New York","10017","(212) 270-6000","www.jpmorgan.com"
"Jane Street Capital, LLC","250 Vesey Street, 3rd Floor","New York","New York","10281","(212) 651-6070","www.janestcapital.com"
"Jane Street Execution Services, LLC","250 Vesey Street, 3rd Floor","New York","New York","10281","(646) 759-6000","www.janestreet.com"
"Jane Street Options, LLC","250 Vesey Street
3rd Floor","New York","New York","10281","(212) 651-6070","https://www.janestreet.com"
"Janney Montgomery Scott LLC","1717 Arch Street, 19th Floor","Philadelphia","Pennsylvania","19103","(215) 665-6000","janney.com"
"Jefferies LLC","520 Madison Avenue","New York","New York","10022","(212) 284-2300","www.jefferies.com"
"Joseph Gunnar & Co., L.L.C.","30 Broad Street
11th Floor","New York","New York","10004","(212) 440-9600","www.josephgunnar.com"
"Jump Execution, LLC","600 West Chicago Avenue
Suite 600","Chicago","Illinois","60654","(312) 205-8900","www.jumptrading.com"
"Jump Trading, LLC","600 West Chicago Avenue
Suite 600","Chicago","Illinois","60654","(312) 205-8900","www.jumptrading.com"
"Kahn Brothers LLC","555 Madison Avenue Suite 1303","New York","New York","10022","(212) 980-5050","www.kahnbrothers.com"
"Keefe, Bruyette & Woods, Inc.","787 Seventh Avenue
4th Floor","New York","New York","10019","(212) 887-7777","www.kbw.com"
"Kingswood Capital Partners, LLC","11440 W. Bernardo Ct., Suite 300,","San Diego","California","92127","(800) 535-6981","https://kingswoodus.com/"
"Kleon Financial, LLC","199 Water Street, 9th Floor","New York","New York","100038","(212) 306-1010","kleonfinancial.com"
"Ladenburg Thalmann & Co. Inc.","640 Fifth Avenue
4th Floor","New York","New York","10019","(212) 409-2000","www.ladenburg.com"
"Latour Trading LLC","120 Broadway, 38th Floor","New York","New York","10271","(917) 388-8000",""
"Leerink Partners LLC","53 State Street
40th Floor","Boston","Massachusetts","02109","(800) 808-7525","www.leerink.com"
"Lightspeed Financial Services Group LLC","20 Headquarters Plaza
North Tower, 7th Floor","Morristown","New Jersey","07960","(888) 577-3123","www.lightspeed.com"
"Lime Trading Corp.","450 7th Ave
31St Floor","New York","New York","10123","(212) 824-5500","https://lime.co/"
"Livermore Trading Group, Inc.","11 Wall Street","New York","New York","10005","(212) 742-0460","www.ltgtrade.com"
"Maxim Group LLC","300 Park Avenue, 16th Floor","New York","New York","10022","(212) 895-3500","www.maximgrp.com"
"Meridian Equity Partners, Inc.","199 Water Street, 9th Floor","New York","New York","100038","(212) 742-8472","www.meptraders.com"
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","One Bryant Park","New York","New York","10036","(212) 449-1000","www.ml.com"
"Mirae Asset Securities (USA) Inc.","810 7th Ave. 37th Fl.","New York","New York","10019","(212) 407-1000","https://miraeassetsecuritiesus.com"
"Moors & Cabot, Inc.","One Federal Street
19th Floor","Boston","Massachusetts","02110","(617) 426-0500","www.moorscabot.com"
"Morgan Stanley & Co. LLC","1585 Broadway","New York","New York","10036","(212) 761-4000","www.ms.com"
"Morgan Stanley Smith Barney LLC","2000 Westchester Avenue","Purchase","New York","10577","(914) 225-5510","www.morganstanleysmithbarney.com"
"Muriel Siebert & Co., LLC","15 Exchange Place 8th Floor","Jersey City","New Jersey","07302","(212) 644-2400","www.siebertnet.com"
"Nasdaq Execution Services, LLC","2929 Walnut Street FMC Tower Level 8","Philadelphia","Pennsylvania","19104","(212) 401-8982","www.nasdaqtrader.com"
"National Financial Services LLC","200 Seaport Boulevard
Z2L","Boston","Massachusetts","02210","(800) 800-6890","www.nationalfinancial.com"
"Network 1 Financial Securities, Inc.","2 Bridge Avenue, Suite 241","Red Bank","New Jersey","07701","(732) 758-9001","https://network1.com/"
"Nomura Securities International, Inc.","Worldwide Plaza
309 West 49th St","New York","New York","10019","(212) 667-9000","www.nomura.com"
"Old Mission Capital, LLC","1 N Dearborn St. Fl 8","Chicago","Illinois","60602","(646) 279-5016","www.oldmissioncapital.com"
"Oppenheimer & Co. Inc.","85 Broad Street
22nd, 24th Floor","New York","New York","10004","(212) 668-8000","www.opco.com"
"Optiver US LLC","130 E. Randolph Street
Suite 800","Chicago","Illinois","60601","(312) 821-9500","www.optiver.us"
"Oscar Gruss & Son Incorporated","10 East 53rd Street
17th Floor","New York","New York","10022","(212) 514-2400","www.oscargruss.com"
"Performance Trust Capital Partners, LLC","500 West Madison Street, Suite 450","Chicago","Illinois","60661","(312) 521-1452","www.performancetrust.com"
"Pershing LLC","One Pershing Plaza","Jersey City","New Jersey","07399","(201) 413-2301","www.pershing.com"
"Piper Sandler & Co.","350 North 5th Street
Suite 1000","Minneapolis","Minnesota","55401","(612) 303-6000","www.pipersandler.com"
"Prime Dealer Services Corp.","1221 Avenue of the Americas","New York","New York","10020","(212) 762-4000",""
"Prime Executions, Inc.","77 Water Street
16th Floor","New York","New York","10005","(212) 785-0200","www.primexe.com"
"Pundion LLC","230 Park Avenue
4th Floor","New York","New York","10169","(917) 720-3332","www.pundion.com"
"Quantlab Brokerage, LLC","3 Greenway Plaza Suite 200","Houston","Texas","77046","(713) 400-5440","https://www.quantlab.com"
"Quattro M Securities Inc.","501 Fifth Avenue
15th Floor","New York","New York","10017","(212) 344-5661","www.quattromsecurities.com"
"R. F. Lafferty & Co., Inc.","40 Wall Street, Suite 1901","New York","New York","10005","(212) 293-9090","www.rflafferty.com"
"RBC Capital Markets, LLC","200 Vesey Street","New York","New York","10281","(212) 858-7000","www.rbccm.com"
"RQD* Clearing, LLC","250 Vesey Street
Suite 2601","New York","New York","10281","(310) 692-5910","https://rqdclearing.com"
"Raymond James & Associates, Inc.","880 Carillon Parkway","Saint Petersburg","Florida","33716","727-567-1000","www.rjf.com"
"Remsenburg Securities, LLC","42 Broadway, Suite 2050","New York","New York","10004","(347) 917-7745","www.RemsenburgSecurities.com"
"Robert W. Baird & Co. Incorporated","777 E Wisconsin Ave 18th Fl","Milwaukee","Wisconsin","53202","800-792-2473","www.rwbaird.com"
"Roberts & Ryan, Inc.","39 Broadway, Suite 610","New York","New York","10006","(866) 884-9959","https://roberts-ryan.com"
"Rosenblatt Securities Inc.","40 Wall Street
59th Floor","New York","New York","10005","(212) 943-5225","www.rblt.com"
"Roth Capital Partners, LLC","888 San Clemente Dr PH","Newport Beach","California","92660","(949) 720-5700","https://www.roth.com"
"SG Americas Securities, LLC","245 Park Avenue","New York","New York","10167","(212) 278-6000","americas.societegenerale.com"
"SIG Brokerage, LP","30 Hudson Yards 16th Floor","New York","New York","10001","(610) 617-2600","www.sig.com"
"Santander US Capital Markets LLC","437 Madison Avenue, 6th Floor","New York","New York","10022","(676) 776-7700","https://www.santandercib.com"
"Scotia Capital (USA) Inc.","250 Vesey Street, 23rd Floor","New York","New York","10281","(212) 225-6500","www.scotia-capital.com"
"Seaport Securities Corp.","60 Broad Street, 31st Floor","New York","New York","10004","(212) 482-8689","www.seaportsecurities.com"
"Sentinel Brokers Company, Inc.","4012 Andover Dr","Plano","Texas","75023","(585) 325-3610","https://www.dssworld.com/sentinel-brokers"
"State Street Global Markets, LLC","State Street Financial Center
1 Lincoln Street","Boston","Massachusetts","02111","(617) 664-3619","https://www.statestreet.com"
"Stephens Inc.","111 Center Street","Little Rock","Arkansas","72201","(501) 377-2000","www.stephens.com"
"Stifel, Nicolaus & Company, Incorporated","501 North Broadway","St. Louis","Missouri","63102","(314) 342-2000","www.stifel.com"
"Stonex Financial Inc.","230 Park Avenue, 10th Floor","New York","New York","10169","(407) 741-5340","www.stonex.com"
"Stratosphere Capital, LLC","223 Second Ave., Suite 5A,","New York","New York","10003","(646) 360-0118","www.stratospherecapital.net"
"Stuart Frankel & Co., Incorporated","60 Cutter Ml Rd
Suite 210","Great Neck","New York","11021","(212) 943-8787","www.stuartfrankel.com"
"Summit Securities Group LLC","55 Broadway
Suite 2102","New York","New York","10006","(646) 845-0036","https://www.ssgllc.com/"
"T.R. Winston & Company, LLC","376 Main Street PO Box 74","Bedminster","New Jersey","07921","(908) 234-9600","www.trwinston.com"
"TCBI Securities, Inc.","211 E. 7th Street, Suite 620","Austin","Texas","78701","(214) 932-6671","www.texascapitalbank.com"
"TD Securities (USA) LLC","599 Lexington Avenue, 20th Floor","New York","New York","10022","(646) 562-1010","www.tdsecurities.com"
"TJM Investments, LLC","318 W. Adams Street
9th Floor","Chicago","Illinois","60606","(312) 432-5100","www.tjmbrokerage.com"
"TP ICAP Global Markets Americas LLC","200 Vesey Street","New York","New York","10281","(212) 306-1900","tpicap.com"
"TRC Markets LLC","111 Coleman Blvd.
Suite 404","Mount Pleasant","South Carolina","29464","(843) 352-8000","tower-research.com"
"The Benchmark Company, LLC","150 East 58th Street
17th Floor","New York","New York","10155","(212) 312-6700","www.benchmarkcap.com"
"ThinkEquity LLC","17 Battery Place, South
Suite 643","New York","New York","10004","(212) 732-8500","https://www.think-equity.com"
"Tigress Financial Partners, LLC","410 Park Ave, Suite 1220","New York","New York","10022","(212) 430-8700","https://www.tigressfp.com"
"Titan Partners Securities LLC","4 World Trade Center
150 Greenwich Street, 49th Floor","New York","New York","10007","631-812-5277","titanpartnersgrp.com"
"Tower Principal Markets LLC","111 Coleman Blvd.
Suite 404","Mount Pleasant","South Carolina","29464","(843) 352-8002","www.tower-research.com"
"TradeMas Inc.","14 Wall Street, 20th Floor","New York","New York","10005","(212) 668-8700","https://trademas.com"
"TradeStation Securities, Inc.","8050 Southwest 10th Street
Suite 2000","Plantation","Florida","33324","(954) 652-7900","www.tradestation.com"
"TradeUp Securities, Inc.","437 Madison Avenue, 27th Floor","New York","New York","10022","(973) 228-2886","https://www.tradeup.com"
"TradeZero America, Inc.","67 35th Street
Suit 450B","Brooklyn","New York","11232","(718) 709-4925","https://us.tradezero.co"
"Tradebot Systems, Inc.","1251 NW Briarcliff Parkway, Suite 700","Kansas City","Missouri","64116","(816) 285-6400","www.tradebotsystems.com"
"Trend Trade Securities, LLC","157 S. Fair Oaks Avenue
Suite 1018","Pasadena","California","91105","(626) 234-8866","www.trendtradepro.com"
"Truist Securities, Inc.","10th Floor 3333 Peachtree Rd N E","Atlanta","Georgia","30326-1070","(404) 926-5000","www.suntrustrh.com"
"Two Sigma Securities, LLC","100 Avenue of the Americas
2nd Floor","New York","New York","10013","(212) 625-5700","www.twosigma.com"
"UBS Financial Services Inc.","1200 Harbor Boulevard","Weehawken","New Jersey","07086","(201) 352-3000","www.ubs.com/financialservicesinc"
"UBS Securities LLC","11 Madison Avenue","New York","New York","10010","(203) 719-3000","www.ubs.com"
"US Tiger Securities, Inc.","437 Madison Avenue
27th Floor","New York","New York","10022","(646) 978-5180","https://www.itiger.com/sg/"
"Univest Securities, LLC","75 Rockefeller Plaza
Suite 1838","New York","New York","10019","(212) 343-8888","https://www.univest.us/"
"UpHorizon, LLC","10250 Constellation Blvd., Suite 2300","Los Angeles","California","90067","(213) 657-8888","uphorizon.us"
"Velocity Capital, LLC","100 Wall Street, Suite 502","New York","California","10005","(646) 837-0056","https://velocitycapllc.com/"
"Velocity Clearing, LLC","1301 Route 36, Suite 109","Hazlet","New Jersey","07730","(212) 425-6000","www.quantexclearing.com"
"Velox Clearing LLC","2400 E. Katella Avenue
Suite 725","Anaheim","California","92806","(866) 808-3569","https://www.veloxglobal.com/"
"Virtu Americas LLC","1633 Broadway
41st Floor","New York","New York","10019","(201) 222-9400","www.kcg.com"
"Vision Financial Markets LLC","1010 Washington Blvd.
Suite 300","Stamford","Connecticut","06901","(203) 388-2700","www.vfmarkets.com"
"Wall Street Access Corporation","100 Wall Street, Suite 1501,","New York","New York","10005","(212) 709-9400","www.wsaccess.com"
"Webull Financial LLC","44 Wall Street","New York","New York","10005","(917) 725-2448","www.webull.com"
"Wedbush Securities Inc.","1000 Wilshire Blvd 8th Floor","Los Angeles","California","90030","(213) 688-8000","www.wedbush.com"
"Wellington Shields & Co., LLC","60 Broad Street, 39th Floor","New York","New York","10004","(212) 320-3000","www.wellingtonshields.com"
"Wells Fargo Clearing Services, LLC","1 North Jefferson Avenue","Saint Louis","Missouri","63103","(314) 955-3000","www.wellsfargo.com"
"Wells Fargo Securities, LLC","550 South Tryon Street","Charlotte","North Carolina","28202","(704) 374-3369","www.wellsfargo.com"
"William Blair & Company L.L.C.","150 North Riverside Plaza","Chicago","Illinois","60606","(312) 236-1600","www.williamblair.com"
"Wolverine Execution Services, LLC","175 W. Jackson Blvd, Suite 200","Chicago","Illinois","60604","(312) 884-3689","www.tradewex.com"
"XTX Markets LLC","10 Hudson Yards 40th Floor","New York","New York","10001","(212) 660-9930","https://www.xtxmarkets.com"
"uSmart Capital LLC","477 Madison Avenue
6th Floor, Suite 631-635C","New York","New York","10022","(805) 432-0320","www.usmartglobal.com"
